user_id,course_id,course_name,instructor,course_duration_hours,certification_offered,difficulty_level,rating,enrollment_numbers,course_price,feedback_score,study_material_available,time_spent_hours,previous_courses_taken,completion_ratio
3557,9402,Photography and Video Editing,Michael Brown,99.9,1,0,5.0,47013,410.12,0.862,1,1.0,4,0.01001001001001001
3891,4248,Personal Finance and Wealth Building,James Clark,10.9,1,0,3.3,11424,456.44,0.976,1,16.77,2,1.538532110091743
41607,6051,Graphic Design with Canva,Isabella Scott,86.0,1,0,3.9,17671,200.38,0.626,1,28.03,8,0.3259302325581395
30741,3607,Mobile App Development with Swift,William Thomas,37.1,1,1,1.5,11760,165.52,0.739,1,34.79,3,0.9377358490566037
14503,3964,Personal Finance and Wealth Building,Sarah Lee,69.4,1,1,4.9,18205,372.54,0.968,1,23.64,2,0.34063400576368874
21778,5334,DevOps and Continuous Deployment,William Thomas,16.9,1,0,4.4,19436,499.06,0.677,1,6.9,4,0.4082840236686391
10628,3728,Ethical Hacking Masterclass,Olivia Taylor,32.2,1,2,4.0,20222,106.66,0.863,1,37.88,3,1.1763975155279502
8793,8134,Graphic Design with Canva,Jessica Martinez,11.0,0,2,3.9,46920,300.29,0.678,1,23.12,3,2.101818181818182
43324,5607,Networking and System Administration,Emma Harris,6.5,1,0,3.9,3834,43.44,0.616,0,39.78,4,6.12
43022,7866,Data Visualization with Tableau,Dr. John Smith,80.9,1,1,2.7,47918,304.65,0.37,1,1.68,6,0.0207663782447466
8434,3839,Stock Market and Trading Strategies,Emma Harris,53.4,1,0,4.9,28912,178.06,0.541,1,41.79,5,0.7825842696629214
43002,9535,Project Management Fundamentals,Prof. Emily Johnson,29.3,1,0,2.6,39987,217.9,0.953,1,35.02,3,1.195221843003413
11017,9882,Blockchain and Decentralized Applications,Emma Harris,38.9,0,0,4.5,31308,442.29,0.647,1,3.54,2,0.0910025706940874
23898,9097,Fundamentals of Digital Marketing,Dr. Robert Davis,70.8,1,2,4.0,25733,418.58,0.691,1,10.23,4,0.1444915254237288
2613,4720,Stock Market and Trading Strategies,Benjamin Lewis,50.8,1,0,3.6,62,207.43,0.883,1,24.51,1,0.48248031496063
23484,536,Fitness and Nutrition Coaching,Emma Harris,48.9,1,0,4.3,25657,359.37,0.624,1,7.52,6,0.1537832310838446
48556,687,AI for Business Leaders,Alexander Young,40.2,1,1,4.5,33985,250.42,1.0,1,25.29,1,0.6291044776119402
17160,3773,Cybersecurity for Professionals,Dr. Robert Davis,80.2,1,2,5.0,8054,31.53,0.56,1,26.51,7,0.3305486284289277
44975,6757,Public Speaking Mastery,Liam Adams,80.7,1,0,3.5,38609,170.75,0.863,1,38.76,6,0.4802973977695167
40995,8930,Stock Market and Trading Strategies,Ethan Hall,70.7,0,0,3.0,17467,33.01,0.934,1,10.17,3,0.14384724186704384
14542,1181,Advanced Machine Learning,Benjamin Lewis,87.7,1,0,3.8,26248,94.23,0.985,1,17.71,5,0.20193842645381985
35921,2914,AI for Business Leaders,Daniel White,79.5,1,0,5.0,5112,487.39,0.611,1,1.12,6,0.01408805031446541
26532,788,Advanced Machine Learning,Liam Adams,24.9,0,1,3.4,41560,292.79,0.607,1,8.25,1,0.3313253012048193
1586,773,DevOps and Continuous Deployment,Michael Brown,37.8,0,2,5.0,34490,323.03,0.886,1,19.28,4,0.5100529100529101
3944,8428,Public Speaking Mastery,Dr. Mia Walker,73.7,0,1,3.9,60,323.04,1.0,1,8.04,3,0.10909090909090907
23940,4574,Cloud Computing Essentials,Dr. Robert Davis,100.0,0,0,4.3,20610,487.2,0.561,1,20.94,7,0.2094
19458,7547,Blockchain and Decentralized Applications,James Clark,18.8,1,2,3.9,14288,288.01,0.476,1,9.82,5,0.5223404255319148
1022,690,Ethical Hacking Masterclass,Sophia Anderson,72.8,1,2,4.5,32678,276.37,0.601,0,14.12,8,0.19395604395604396
11654,7956,Fitness and Nutrition Coaching,Isabella Scott,51.4,1,0,3.3,2241,227.87,0.778,0,12.04,1,0.23424124513618677
43574,5589,Blockchain and Decentralized Applications,Benjamin Lewis,39.7,0,0,2.2,31942,390.0,0.826,1,11.24,4,0.2831234256926952
13418,5268,Stock Market and Trading Strategies,Dr. Robert Davis,13.9,0,2,5.0,41407,335.85,0.839,1,14.45,6,1.039568345323741
40758,8966,Graphic Design with Canva,Charlotte King,20.0,0,0,5.0,760,176.95,0.872,0,8.6,4,0.43
9693,8343,Blockchain and Decentralized Applications,Alexander Young,21.2,1,1,2.6,35408,485.44,0.743,0,1.88,4,0.08867924528301886
45759,9693,Mobile App Development with Swift,Michael Brown,62.5,1,2,3.9,38855,37.01,0.671,1,17.86,2,0.28576
6874,3234,Fundamentals of Digital Marketing,Daniel White,86.5,0,0,3.3,25618,155.56,0.903,0,1.0,5,0.011560693641618497
5676,9819,AI for Business Leaders,Dr. Mia Walker,83.7,1,1,4.3,36609,495.1,0.742,1,34.3,8,0.4097968936678614
162,9658,Project Management Fundamentals,Dr. Mia Walker,88.5,1,0,3.5,37433,405.88,0.513,0,35.23,7,0.3980790960451977
37066,8318,Public Speaking Mastery,Michael Brown,56.6,1,0,4.6,12517,292.0,0.62,1,1.11,5,0.0196113074204947
26558,4020,Cybersecurity for Professionals,Michael Brown,64.9,1,0,4.7,44888,412.65,0.485,1,12.87,4,0.1983050847457627
33764,4212,Fundamentals of Digital Marketing,Sophia Anderson,18.0,1,2,4.8,597,138.91,0.71,1,48.81,4,2.711666666666667
32607,5987,Project Management Fundamentals,William Thomas,51.3,0,1,4.4,43256,44.22,0.983,1,40.51,3,0.7896686159844054
11535,2588,Mobile App Development with Swift,William Thomas,47.7,1,0,5.0,4860,114.6,0.674,1,23.5,2,0.49266247379454925
29128,3209,Photography and Video Editing,Michael Brown,56.4,1,0,3.8,49727,101.03,0.83,1,1.0,2,0.01773049645390071
40398,7646,Public Speaking Mastery,Dr. John Smith,64.1,0,0,4.0,34007,135.31,0.602,1,28.28,6,0.4411856474258971
25852,3473,Data Visualization with Tableau,Liam Adams,36.7,0,0,4.4,38168,451.9,0.716,1,35.31,3,0.962125340599455
1017,5500,Networking and System Administration,Ethan Hall,32.9,0,0,3.7,6504,132.98,0.617,1,26.99,10,0.8203647416413373
24254,4129,Game Development with Unity,William Thomas,40.1,1,0,2.8,8450,304.46,0.53,0,32.11,5,0.8007481296758104
24277,6973,Cybersecurity for Professionals,Dr. Robert Davis,14.6,1,0,5.0,31469,266.97,0.745,1,23.16,5,1.5863013698630137
23248,5085,Advanced Machine Learning,David Wilson,11.8,1,1,3.4,38239,419.65,0.985,1,33.94,5,2.8762711864406776
24301,6949,Data Visualization with Tableau,Sophia Anderson,17.5,1,2,4.5,24777,346.56,0.48,1,15.26,6,0.872
8530,2061,Fitness and Nutrition Coaching,Alexander Young,36.3,0,2,3.4,25469,29.51,0.928,1,34.89,8,0.9611570247933885
17263,7464,Networking and System Administration,Charlotte King,38.8,1,0,4.2,46042,191.83,0.705,1,17.43,8,0.44922680412371135
9269,3326,Personal Finance and Wealth Building,Dr. John Smith,98.2,1,2,3.6,26047,428.89,0.719,1,30.82,3,0.31384928716904276
21272,4455,Python for Beginners,Isabella Scott,54.4,0,1,2.7,21632,310.15,0.64,1,22.87,1,0.4204044117647059
12186,823,AI for Business Leaders,Benjamin Lewis,12.7,1,0,5.0,16114,60.56,0.594,1,23.39,3,1.841732283464567
21244,2062,Game Development with Unity,Isabella Scott,25.6,1,2,3.7,23207,300.42,0.82,1,38.61,7,1.5082031249999999
39100,8352,Photography and Video Editing,Prof. Emily Johnson,90.8,1,2,5.0,2575,76.73,1.0,0,43.02,3,0.47378854625550665
8572,907,Mobile App Development with Swift,William Thomas,98.0,1,0,4.1,26945,74.57,0.629,1,24.56,3,0.2506122448979592
39977,2787,Photography and Video Editing,Prof. Emily Johnson,98.4,1,1,4.6,22982,488.1,0.935,1,33.57,7,0.3411585365853658
38045,9893,Photography and Video Editing,Sarah Lee,34.7,1,1,4.5,46183,315.29,0.96,1,25.36,4,0.7308357348703169
49217,6942,Photography and Video Editing,Isabella Scott,56.5,0,2,5.0,6535,105.16,0.673,1,1.76,6,0.031150442477876107
48985,4429,AI for Business Leaders,Liam Adams,95.5,0,1,3.3,30951,150.37,0.617,1,22.59,6,0.23654450261780105
40775,1574,Stock Market and Trading Strategies,Olivia Taylor,49.1,1,1,4.0,5911,476.69,0.883,1,24.55,6,0.5
2569,3251,AI for Business Leaders,Olivia Taylor,21.8,1,1,3.2,11179,486.76,0.64,0,17.54,7,0.8045871559633027
2028,1342,Networking and System Administration,Charlotte King,9.0,0,1,2.5,37998,195.86,0.713,1,1.0,6,0.1111111111111111
2696,4705,Game Development with Unity,Dr. John Smith,40.3,1,0,3.5,15808,224.78,0.686,1,39.06,5,0.9692307692307693
48191,2078,Networking and System Administration,William Thomas,57.1,0,0,4.1,33544,228.15,0.51,1,5.84,2,0.10227670753064798
5259,4530,Cloud Computing Essentials,Dr. John Smith,80.9,0,1,4.7,7200,39.93,0.859,1,35.09,10,0.43374536464771324
22003,1031,Advanced Machine Learning,Benjamin Lewis,70.2,1,0,5.0,15975,185.19,0.765,0,1.0,6,0.014245014245014245
39505,1831,Fundamentals of Digital Marketing,Dr. Robert Davis,5.0,0,0,4.0,27690,361.43,1.0,1,19.03,8,3.806
33160,5565,Stock Market and Trading Strategies,Dr. John Smith,21.4,1,0,2.5,41458,122.91,0.584,0,12.9,3,0.602803738317757
13987,784,Cloud Computing Essentials,William Thomas,49.7,1,2,4.8,23842,410.21,0.762,1,5.48,4,0.11026156941649899
12667,8907,Networking and System Administration,Benjamin Lewis,79.3,0,1,4.3,34541,324.66,0.873,1,20.8,1,0.26229508196721313
38661,5029,Stock Market and Trading Strategies,Isabella Scott,11.8,1,0,3.7,45688,360.99,0.71,1,47.41,4,4.017796610169491
3562,7477,Mobile App Development with Swift,Isabella Scott,69.3,0,1,2.9,10366,200.45,0.659,1,21.54,4,0.31082251082251083
26855,8782,DevOps and Continuous Deployment,Michael Brown,24.4,1,0,4.5,49180,39.57,0.549,1,6.28,8,0.2573770491803279
38953,2711,Ethical Hacking Masterclass,Dr. Mia Walker,52.0,0,0,4.2,16310,55.12,0.691,1,23.65,6,0.4548076923076923
22663,5498,Mobile App Development with Swift,Isabella Scott,59.3,1,0,4.9,41582,327.75,0.942,1,41.01,6,0.6915682967959528
8393,8379,DevOps and Continuous Deployment,Sarah Lee,41.0,0,0,4.3,34047,183.49,1.0,1,1.0,5,0.024390243902439025
30536,7519,Personal Finance and Wealth Building,James Clark,13.6,0,0,3.8,33811,418.49,0.654,1,7.91,8,0.5816176470588236
13068,9244,Cybersecurity for Professionals,William Thomas,45.0,0,2,4.9,16867,267.93,0.732,1,10.35,4,0.22999999999999998
48034,490,Advanced Machine Learning,Isabella Scott,64.4,1,2,3.9,11322,303.45,1.0,1,27.58,5,0.4282608695652173
23600,7166,Graphic Design with Canva,David Wilson,87.3,1,0,4.6,29953,460.19,0.989,0,21.1,5,0.24169530355097368
35223,9560,Python for Beginners,James Clark,67.0,1,0,4.4,34147,275.5,0.624,1,6.07,4,0.09059701492537314
11838,4787,Data Visualization with Tableau,Daniel White,80.0,1,1,4.6,7302,221.36,0.636,1,17.18,8,0.21475
14040,1746,Photography and Video Editing,Emma Harris,44.0,1,0,2.7,28437,266.28,0.743,1,1.0,3,0.022727272727272728
30819,7881,Networking and System Administration,Dr. Mia Walker,21.0,0,0,5.0,47816,158.35,0.998,1,18.51,3,0.8814285714285715
19116,6259,Personal Finance and Wealth Building,Olivia Taylor,81.2,1,2,4.1,49654,397.19,0.645,1,21.31,1,0.26243842364532016
10966,4899,Photography and Video Editing,Jessica Martinez,74.4,1,0,3.5,46388,67.37,0.55,1,3.18,9,0.042741935483870966
24539,9355,Python for Beginners,Charlotte King,58.8,0,2,4.4,23131,391.06,0.653,1,23.0,8,0.39115646258503406
42531,5175,Advanced Machine Learning,Ethan Hall,66.4,1,0,4.2,46752,125.21,0.822,1,2.33,1,0.03509036144578313
5057,8786,DevOps and Continuous Deployment,Emma Harris,88.6,1,1,2.5,20839,175.86,0.458,1,16.06,4,0.18126410835214446
32483,2586,Project Management Fundamentals,Dr. Robert Davis,69.3,0,1,3.7,46643,164.61,0.958,1,41.48,5,0.5985569985569985
47717,559,Cloud Computing Essentials,Isabella Scott,26.5,1,0,2.0,32819,443.23,0.654,1,27.22,3,1.0271698113207546
8111,8702,Blockchain and Decentralized Applications,Dr. John Smith,30.8,1,0,2.4,24093,64.83,0.707,1,12.85,4,0.4172077922077922
13774,3569,Game Development with Unity,Olivia Taylor,21.2,1,2,3.9,21963,36.75,0.664,1,34.62,9,1.6330188679245283
27267,3610,AI for Business Leaders,Jessica Martinez,16.1,0,0,4.2,34931,331.21,0.783,1,36.48,4,2.2658385093167697
17413,313,Data Visualization with Tableau,Olivia Taylor,69.7,1,0,4.7,15341,457.71,0.749,1,4.4,1,0.06312769010043041
33271,7377,Photography and Video Editing,David Wilson,19.7,0,0,3.2,838,471.32,0.938,1,1.27,3,0.06446700507614214
6911,3192,Game Development with Unity,Dr. Mia Walker,6.1,0,2,2.6,41004,481.5,0.889,1,27.36,7,4.4852459016393444
45454,3663,Personal Finance and Wealth Building,James Clark,45.1,1,1,3.3,15839,306.95,0.558,1,6.56,9,0.14545454545454545
25447,1968,Networking and System Administration,Emma Harris,64.7,0,2,3.9,34850,342.71,0.345,0,24.82,3,0.38361669242658425
207,7209,Photography and Video Editing,Charlotte King,45.6,1,0,4.4,47931,150.73,0.665,1,1.0,7,0.021929824561403508
21519,6133,Graphic Design with Canva,Isabella Scott,61.7,0,0,4.4,26847,173.91,1.0,1,12.21,7,0.19789303079416531
22362,1792,Blockchain and Decentralized Applications,Charlotte King,75.0,1,0,4.1,7273,400.18,0.918,1,26.88,4,0.3584
23420,8024,Cloud Computing Essentials,Olivia Taylor,24.5,1,1,4.6,15201,145.06,0.69,1,30.42,7,1.2416326530612245
48703,4050,Personal Finance and Wealth Building,Charlotte King,45.3,1,0,3.9,36816,317.36,0.76,1,22.23,5,0.4907284768211921
41524,1610,Mobile App Development with Swift,Alexander Young,48.4,1,0,3.2,35989,296.77,0.802,1,10.23,8,0.2113636363636364
45152,4612,DevOps and Continuous Deployment,Michael Brown,44.9,1,1,5.0,16907,65.5,0.837,1,1.55,5,0.03452115812917595
22404,5055,AI for Business Leaders,Dr. Robert Davis,97.9,0,0,3.9,21208,76.23,0.691,0,22.08,1,0.22553626149131764
18142,6095,Personal Finance and Wealth Building,Isabella Scott,29.7,1,1,3.9,1228,197.61,0.72,1,17.36,5,0.5845117845117845
14821,9738,Stock Market and Trading Strategies,Liam Adams,72.7,0,1,3.3,48760,155.91,0.954,1,1.0,7,0.013755158184319119
40343,9827,Photography and Video Editing,Benjamin Lewis,52.5,1,2,4.6,10594,24.0,0.844,1,7.03,6,0.13390476190476192
6375,8224,Project Management Fundamentals,Prof. Emily Johnson,78.1,1,1,4.2,21356,341.0,0.67,1,5.79,8,0.07413572343149809
1679,2633,Photography and Video Editing,Emma Harris,42.3,1,0,3.2,14648,383.33,0.817,1,1.0,5,0.023640661938534282
33828,2463,Cloud Computing Essentials,Dr. John Smith,70.0,1,0,4.6,26588,286.43,0.887,1,27.8,4,0.39714285714285713
16199,6377,Game Development with Unity,Olivia Taylor,34.6,1,1,3.7,49950,51.22,0.817,1,49.63,3,1.4343930635838151
9915,4495,Photography and Video Editing,Ethan Hall,92.3,1,0,5.0,11809,421.69,0.934,0,4.58,3,0.04962080173347779
27891,7346,Cloud Computing Essentials,Prof. Emily Johnson,79.4,0,1,3.5,2293,300.51,0.657,1,15.55,1,0.19584382871536524
22300,6659,Advanced Machine Learning,Ethan Hall,93.1,0,0,3.6,635,333.8,0.557,1,30.47,6,0.3272824919441461
43586,104,Blockchain and Decentralized Applications,Emma Harris,98.4,1,1,4.6,12512,475.84,0.794,1,39.91,3,0.4055894308943089
43690,6179,Game Development with Unity,Jessica Martinez,9.5,1,2,3.7,22250,433.36,1.0,1,14.28,5,1.503157894736842
42558,627,Blockchain and Decentralized Applications,Sophia Anderson,95.5,1,1,3.5,4786,122.16,0.85,1,11.9,6,0.12460732984293194
49081,6454,Cloud Computing Essentials,David Wilson,83.5,0,0,3.7,27604,361.28,0.758,1,18.72,8,0.22419161676646704
44021,6906,Project Management Fundamentals,Dr. Mia Walker,12.9,1,1,2.8,17989,287.98,0.215,1,37.37,6,2.896899224806201
2694,9626,Data Visualization with Tableau,Michael Brown,14.7,1,0,4.1,5827,207.86,0.962,1,32.35,1,2.2006802721088436
29468,3294,Cloud Computing Essentials,Ethan Hall,44.7,1,1,3.7,4050,153.51,0.751,0,11.87,2,0.26554809843400445
29724,7522,Fitness and Nutrition Coaching,Sophia Anderson,34.4,1,0,3.8,44688,169.82,0.88,1,33.03,3,0.9601744186046512
46700,5923,Fundamentals of Digital Marketing,Sarah Lee,89.0,1,2,4.2,16116,191.5,0.766,1,14.88,6,0.16719101123595506
3628,7906,Fundamentals of Digital Marketing,Dr. Robert Davis,37.9,1,1,4.0,6392,211.42,0.829,1,19.73,4,0.5205804749340369
25940,6384,Fitness and Nutrition Coaching,Liam Adams,94.1,1,0,4.1,49149,130.51,0.635,1,1.0,8,0.010626992561105207
48926,3697,Advanced Machine Learning,William Thomas,75.4,1,2,2.4,9205,322.23,0.88,1,23.05,7,0.3057029177718833
42942,379,Personal Finance and Wealth Building,Alexander Young,29.3,1,0,4.9,2575,251.04,0.864,1,4.37,9,0.1491467576791809
21835,3216,Networking and System Administration,Olivia Taylor,82.9,1,2,2.9,39081,28.23,0.772,1,29.89,6,0.3605548854041013
18048,4339,AI for Business Leaders,William Thomas,18.9,1,0,4.0,30808,123.04,0.774,1,30.28,7,1.6021164021164023
26106,3921,Cloud Computing Essentials,James Clark,49.5,0,2,3.5,18353,260.8,0.797,1,22.74,5,0.45939393939393935
10231,69,Python for Beginners,Charlotte King,40.7,0,2,3.4,45948,387.89,0.552,1,1.0,1,0.02457002457002457
15708,716,Python for Beginners,Sophia Anderson,96.6,1,0,3.2,30163,292.35,0.846,1,18.37,5,0.1901656314699793
21977,2966,Graphic Design with Canva,Prof. Emily Johnson,86.3,1,1,3.6,21896,399.89,0.663,0,33.74,7,0.3909617612977984
44263,3642,Public Speaking Mastery,Isabella Scott,92.1,1,0,5.0,34056,410.34,0.874,1,42.36,6,0.45993485342019547
23777,6951,Networking and System Administration,Liam Adams,57.3,0,0,4.2,2454,350.39,0.973,1,6.13,1,0.10698080279232113
30081,1444,AI for Business Leaders,Benjamin Lewis,33.5,1,0,4.6,45328,308.48,0.686,1,34.35,6,1.0253731343283583
1307,4870,Ethical Hacking Masterclass,Benjamin Lewis,6.7,1,0,4.3,26813,336.43,0.673,1,21.1,3,3.1492537313432836
6777,4784,Cloud Computing Essentials,Jessica Martinez,26.3,1,1,2.2,13605,249.85,0.822,1,20.88,8,0.7939163498098859
27252,8262,Stock Market and Trading Strategies,Benjamin Lewis,50.4,1,1,3.9,36183,358.52,0.495,1,28.71,6,0.5696428571428572
9475,5687,Ethical Hacking Masterclass,Michael Brown,80.5,1,2,5.0,46252,57.21,0.467,1,38.49,4,0.4781366459627329
40295,9566,Personal Finance and Wealth Building,Emma Harris,49.3,0,2,5.0,46231,479.86,0.724,1,14.25,6,0.28904665314401623
21960,6205,Fundamentals of Digital Marketing,David Wilson,94.3,1,1,3.4,8123,478.91,0.744,0,10.23,3,0.10848356309650053
5531,3326,Project Management Fundamentals,Liam Adams,38.2,1,2,4.1,14902,162.81,0.792,1,10.59,3,0.27722513089005235
29321,2387,Stock Market and Trading Strategies,Liam Adams,55.9,1,0,2.3,7305,310.88,0.887,1,28.22,2,0.504830053667263
3749,7006,Stock Market and Trading Strategies,Olivia Taylor,91.9,1,2,3.6,41894,269.44,0.941,1,30.2,8,0.3286180631120783
31969,6105,Cybersecurity for Professionals,Daniel White,60.4,1,2,3.3,35160,40.44,0.937,0,3.1,5,0.051324503311258284
32563,3978,Photography and Video Editing,Sophia Anderson,60.3,0,2,4.7,47215,483.29,0.734,1,15.41,5,0.2555555555555556
13546,2352,Mobile App Development with Swift,Benjamin Lewis,7.3,1,0,5.0,49505,96.52,0.511,1,2.76,5,0.3780821917808219
664,2667,Fundamentals of Digital Marketing,Jessica Martinez,33.6,1,0,4.0,8794,304.59,0.633,0,26.34,3,0.7839285714285714
34767,7320,Project Management Fundamentals,Liam Adams,71.2,0,0,2.9,38900,334.57,0.746,1,42.61,2,0.5984550561797752
7995,5496,Graphic Design with Canva,Dr. Robert Davis,73.6,1,2,4.5,3561,78.29,0.705,1,7.3,3,0.09918478260869566
28022,6428,Game Development with Unity,Benjamin Lewis,15.2,1,2,3.7,30465,84.51,0.687,1,34.15,2,2.2467105263157894
30304,282,Mobile App Development with Swift,Sarah Lee,44.2,0,0,3.6,14413,108.89,0.724,1,20.87,5,0.47217194570135745
3305,8854,AI for Business Leaders,Prof. Emily Johnson,68.6,1,1,3.7,41114,333.23,0.636,1,20.51,7,0.2989795918367347
46577,8672,Project Management Fundamentals,David Wilson,51.3,1,0,4.2,1885,257.27,0.914,1,25.03,7,0.48791423001949324
39354,6763,Networking and System Administration,Charlotte King,20.5,0,1,4.1,21423,106.09,0.862,0,1.0,5,0.04878048780487805
17676,7076,DevOps and Continuous Deployment,Prof. Emily Johnson,45.5,1,0,4.0,41078,187.98,0.672,1,19.33,6,0.4248351648351648
44418,5326,Game Development with Unity,Dr. Mia Walker,77.3,1,2,4.7,6864,358.21,0.741,1,6.62,3,0.08564036222509704
23939,8741,Mobile App Development with Swift,Alexander Young,67.4,0,0,4.9,21167,284.65,0.744,1,45.39,7,0.6734421364985163
23665,8835,Personal Finance and Wealth Building,Dr. John Smith,42.4,1,0,2.7,12830,73.21,0.661,1,19.42,4,0.45801886792452834
1637,9180,Python for Beginners,Charlotte King,6.8,1,1,3.1,20461,483.72,0.535,1,17.25,1,2.536764705882353
20081,7232,Project Management Fundamentals,Olivia Taylor,23.2,1,0,3.6,30501,394.55,0.718,0,31.21,4,1.3452586206896553
27729,364,Ethical Hacking Masterclass,Dr. John Smith,89.0,1,0,4.3,3262,88.93,0.735,0,2.82,3,0.031685393258426967
49851,7386,Personal Finance and Wealth Building,Jessica Martinez,5.5,1,0,3.6,44691,245.66,0.887,1,1.0,8,0.18181818181818182
26737,3688,Photography and Video Editing,Liam Adams,55.0,1,1,5.0,18662,317.78,0.683,1,12.63,4,0.22963636363636364
28674,6551,Networking and System Administration,Benjamin Lewis,58.6,1,2,4.3,28457,407.86,0.604,0,22.65,5,0.386518771331058
37506,4066,Ethical Hacking Masterclass,Emma Harris,41.9,0,1,4.3,12679,118.35,0.681,1,11.52,2,0.2749403341288783
47324,5178,DevOps and Continuous Deployment,Ethan Hall,8.1,1,1,2.7,10330,25.87,0.659,1,34.92,4,4.311111111111112
